sample_id,image_path,source_split,detector_annotation_path,verified_ground_truth_plate,condition_labels,valid_plate_present,verification_notes,verified_by,verified_at,plate_detected,detection_outcome
DEV-011,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140028_jpg.rf.688ce9d426ad9fdb5069a7982c51cdf4.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140028_jpg.rf.688ce9d426ad9fdb5069a7982c51cdf4.txt,JYG9508,clear,TRUE,,Jacob,2026-09-07T17:36:00+08:00,true,true_positive
DEV-012,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140053_jpg.rf.8efe75bdb11488ecf80bc8dbac84a9b1.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140053_jpg.rf.8efe75bdb11488ecf80bc8dbac84a9b1.txt,VNY9118,clear,TRUE,,Jacob,2026-09-07T17:37:00+08:00,true,true_positive
DEV-013,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140101_jpg.rf.d41df2bb9120127375470367731b55f1.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140101_jpg.rf.d41df2bb9120127375470367731b55f1.txt,NEC5542,clear;low_light,TRUE,slight shadow making the plate dark,Jacob,2026-09-07T17:37:00+08:00,true,true_positive
DEV-014,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140121_jpg.rf.e71eff84219e317dee78508d5e06d11e.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140121_jpg.rf.e71eff84219e317dee78508d5e06d11e.txt,BNH8622,clear;low_light,TRUE,slight shadow making the plate dark,Jacob,2026-09-07T17:38:00+08:00,true,true_positive
DEV-015,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140152_jpg.rf.0c172dd4336d7920745928765b6825df.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140152_jpg.rf.0c172dd4336d7920745928765b6825df.txt,FB761,clear;low_light,TRUE,slight shadow making the plate dark,Jacob,2026-09-07T17:38:00+08:00,true,true_positive
DEV-016,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140156_jpg.rf.8be856e647043293efd3adbce04c9f11.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140156_jpg.rf.8be856e647043293efd3adbce04c9f11.txt,JRC8034,clear;low_light,TRUE,slight shadow making the plate dark,Jacob,2026-09-07T17:40:00+08:00,true,true_positive
DEV-017,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140205_jpg.rf.ba78828562ab17efbac0f259da223a25.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140205_jpg.rf.ba78828562ab17efbac0f259da223a25.txt,VAE4712,clear,TRUE,,Jacob,2026-09-07T17:40:00+08:00,true,true_positive
DEV-018,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140214_jpg.rf.bc3f76c8e88a986fc7cbdf0b9f93dc50.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140214_jpg.rf.bc3f76c8e88a986fc7cbdf0b9f93dc50.txt,PMN9193,clear,TRUE,,Jacob,2026-09-07T17:41:00+08:00,true,true_positive
DEV-019,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140248_jpg.rf.8600ecde88b1f0ed6b83675545bdf3bf.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140248_jpg.rf.8600ecde88b1f0ed6b83675545bdf3bf.txt,BHV1289,clear,TRUE,,Jacob,2026-09-07T18:09:00+08:00,true,true_positive
DEV-020,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140301_jpg.rf.a365e26aa6068e4a3873315d00c2ccc5.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140301_jpg.rf.a365e26aa6068e4a3873315d00c2ccc5.txt,JPK8330,clear,TRUE,,Jacob,2026-09-07T18:10:00+08:00,true,true_positive
DEV-021,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140309_jpg.rf.7ea8528caa78a5b23a15cfa951edf9f0.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140309_jpg.rf.7ea8528caa78a5b23a15cfa951edf9f0.txt,RG2626,clear,TRUE,,Jacob,2026-09-07T18:10:00+08:00,true,true_positive
DEV-022,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140314_jpg.rf.6a977dc44e81a2e18b4c50773fc11b87.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140314_jpg.rf.6a977dc44e81a2e18b4c50773fc11b87.txt,JSH1333,clear,TRUE,,Jacob,2026-09-07T18:11:00+08:00,true,true_positive
DEV-023,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140318_jpg.rf.4eb7e316dbbb5c29d00644bc1c8419ea.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140318_jpg.rf.4eb7e316dbbb5c29d00644bc1c8419ea.txt,JWN5828,clear,TRUE,,Jacob,2026-09-07T18:11:00+08:00,true,true_positive
DEV-024,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140321_jpg.rf.6f21292cd20a00f28fef35c777b2b8d5.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140321_jpg.rf.6f21292cd20a00f28fef35c777b2b8d5.txt,VLM7012,clear,TRUE,,Jacob,2026-09-07T18:12:00+08:00,true,true_positive
DEV-025,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140336_jpg.rf.9b71d66f56dd0f48bc9caf15afa05c7c.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140336_jpg.rf.9b71d66f56dd0f48bc9caf15afa05c7c.txt,FA8577,low_light,TRUE,,Jacob,2026-09-07T18:12:00+08:00,true,true_positive
DEV-026,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140338_jpg.rf.96616d6fd061a0c29b40a2267e1a8faf.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140338_jpg.rf.96616d6fd061a0c29b40a2267e1a8faf.txt,JRP351,clear;low_light,TRUE,,Jacob,2026-09-07T18:13:00+08:00,true,true_positive
DEV-027,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140344_jpg.rf.105206ed677a13e401ff0a4ed962024d.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140344_jpg.rf.105206ed677a13e401ff0a4ed962024d.txt,JQB22,clear,TRUE,,Jacob,2026-09-07T18:13:00+08:00,true,true_positive
DEV-028,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140347_jpg.rf.6cfd50016a3c87268f300326af395c62.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140347_jpg.rf.6cfd50016a3c87268f300326af395c62.txt,MBS9684,clear,TRUE,,Jacob,2026-09-07T18:13:00+08:00,true,true_positive
DEV-029,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140538_jpg.rf.c0903faf429949a976688bf9201d16b0.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140538_jpg.rf.c0903faf429949a976688bf9201d16b0.txt,JQQ7788,clear,TRUE,,Jacob,2026-09-07T18:14:00+08:00,true,true_positive
DEV-030,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140546_jpg.rf.14360879d7b98b16eef8aac1fb9c0820.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140546_jpg.rf.14360879d7b98b16eef8aac1fb9c0820.txt,VFL5070,clear,TRUE,,Jacob,2026-09-07T18:14:00+08:00,true,true_positive
DEV-031,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140654_jpg.rf.8d3f0fcb9a07dea507b604b112ffdc25.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140654_jpg.rf.8d3f0fcb9a07dea507b604b112ffdc25.txt,VES6551,clear,TRUE,,Jacob,2026-09-07T18:15:00+08:00,true,true_positive
DEV-032,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140743_jpg.rf.62919c8d5b488f90f6e655b853fe28bb.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140743_jpg.rf.62919c8d5b488f90f6e655b853fe28bb.txt,TCK1106,angled,TRUE,,Jacob,2026-09-07T18:15:00+08:00,true,true_positive
DEV-033,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140747_jpg.rf.18ffbc6a8959a5ba88c6e9a30d1d2ff5.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140747_jpg.rf.18ffbc6a8959a5ba88c6e9a30d1d2ff5.txt,VEV2003,low_light,TRUE,,Jacob,2026-09-07T18:16:00+08:00,true,true_positive
DEV-034,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140749_jpg.rf.82f49989467be5ad58149b31705da609.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140749_jpg.rf.82f49989467be5ad58149b31705da609.txt,SWN2589,low_light,TRUE,,Jacob,2026-09-07T18:16:00+08:00,true,true_positive
DEV-035,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140807_jpg.rf.7d5148fe4d23ecd65ff8d7d6b3acbafa.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140807_jpg.rf.7d5148fe4d23ecd65ff8d7d6b3acbafa.txt,NEA6562,clear,TRUE,,Jacob,2026-09-07T18:18:00+08:00,true,true_positive
DEV-036,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140822_jpg.rf.61f5616ba5427b6c83b03943990a64e0.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140822_jpg.rf.61f5616ba5427b6c83b03943990a64e0.txt,,partial_obstruction,TRUE,The first letter of the plate is missing,Jacob,2026-09-07T18:18:00+08:00,true,true_positive
DEV-037,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140847_jpg.rf.cd434d7b745e17a22f2f61d1fff12315.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140847_jpg.rf.cd434d7b745e17a22f2f61d1fff12315.txt,PLM9647,clear,TRUE,,Jacob,2026-09-07T18:18:00+08:00,true,true_positive
DEV-038,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140904_jpg.rf.22167d2f5b4aed200613b7008df169aa.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140904_jpg.rf.22167d2f5b4aed200613b7008df169aa.txt,WUB8635,clear,TRUE,,Jacob,2026-09-07T18:19:00+08:00,true,true_positive
DEV-039,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140936_jpg.rf.ce78941bbab35aa04059cebdfbb9a198.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140936_jpg.rf.ce78941bbab35aa04059cebdfbb9a198.txt,QM8288C,clear,TRUE,,Jacob,2026-09-07T18:19:00+08:00,true,true_positive
DEV-040,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140957_jpg.rf.024f9b6536d7423f3cb27a9b0546f063.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140957_jpg.rf.024f9b6536d7423f3cb27a9b0546f063.txt,QS8277G,clear;small_or_distant,TRUE,,Jacob,2026-09-07T18:21:00+08:00,true,true_positive
DEV-041,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141028_jpg.rf.19b6534421622bccfd489c0caf9c1d38.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_141028_jpg.rf.19b6534421622bccfd489c0caf9c1d38.txt,WYD5337,clear,TRUE,,Jacob,2026-09-07T18:21:00+08:00,true,true_positive
DEV-042,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141037_jpg.rf.438a2581fa74ebc5adc73d7839483a94.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_141037_jpg.rf.438a2581fa74ebc5adc73d7839483a94.txt,WPR7559,clear,TRUE,,Jacob,2026-09-07T18:21:00+08:00,true,true_positive
DEV-043,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141050_jpg.rf.4aa2af693adf894dbd409c74a0bb6145.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_141050_jpg.rf.4aa2af693adf894dbd409c74a0bb6145.txt,WEX282,clear,TRUE,,Jacob,2026-09-07T18:21:00+08:00,true,true_positive
DEV-044,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141100_jpg.rf.d0c446746ed37da4fa061f94ca1308da.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_141100_jpg.rf.d0c446746ed37da4fa061f94ca1308da.txt,VMH1296,low_light,TRUE,,Jacob,2026-09-07T18:22:00+08:00,true,true_positive
DEV-045,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141103_jpg.rf.14bd8120175fc9a5f686def2837a2ef0.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_141103_jpg.rf.14bd8120175fc9a5f686def2837a2ef0.txt,NDD9298,low_light,TRUE,,Jacob,2026-09-07T18:22:00+08:00,true,true_positive
DEV-046,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141107_jpg.rf.113a1dc4eb3d953af54c39d9d5b5aee6.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_141107_jpg.rf.113a1dc4eb3d953af54c39d9d5b5aee6.txt,WC4566V,clear,TRUE,,Jacob,2026-09-07T18:23:00+08:00,true,true_positive
DEV-047,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141115_jpg.rf.ed0f87f3958d164b5ed48c2399b4ad6f.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_141115_jpg.rf.ed0f87f3958d164b5ed48c2399b4ad6f.txt,AMQ6172,low_light;angled,TRUE,,Jacob,2026-09-07T18:23:00+08:00,true,true_positive
DEV-048,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141153_jpg.rf.369480c28882fe293337a77abe86f487.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_141153_jpg.rf.369480c28882fe293337a77abe86f487.txt,VFW2886,clear,TRUE,,Jacob,2026-09-07T18:25:00+08:00,true,true_positive
DEV-049,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141218_jpg.rf.fd35b5ecde58822be0eebbd00858c61c.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_141218_jpg.rf.fd35b5ecde58822be0eebbd00858c61c.txt,PETRA26,clear,TRUE,,Jacob,2026-09-07T18:25:00+08:00,true,true_positive
DEV-050,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251124_151303_jpg.rf.63e3a05796a30a2b28719666232c3eff.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251124_151303_jpg.rf.63e3a05796a30a2b28719666232c3eff.txt,VCB5678,clear;small_or_distant,TRUE,,Jacob,2026-09-07T18:25:00+08:00,true,true_positive
DEV-051,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251124_151844_jpg.rf.d544e79e76cf43226a60a1733723b19a.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251124_151844_jpg.rf.d544e79e76cf43226a60a1733723b19a.txt,M733M,small_or_distant,TRUE,,Jacob,2026-09-07T18:30:00+08:00,true,true_positive
DEV-052,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_121849_jpg.rf.d60868013902e07eba58a4b34ac5ab83.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251128_121849_jpg.rf.d60868013902e07eba58a4b34ac5ab83.txt,MDC9311,clear,TRUE,,Jacob,2026-09-07T18:30:00+08:00,true,true_positive
DEV-053,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_122416_jpg.rf.97886d6b038d8432e5266818046d7290.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251128_122416_jpg.rf.97886d6b038d8432e5266818046d7290.txt,MDL9890,clear,TRUE,,Jacob,2026-09-07T18:30:00+08:00,true,true_positive
DEV-054,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_123226_jpg.rf.efaa5429ae9df07611826b54800ed41a.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251128_123226_jpg.rf.efaa5429ae9df07611826b54800ed41a.txt,VPS7275,angled;small_or_distant,TRUE,,Jacob,2026-09-07T18:30:00+08:00,true,true_positive
DEV-055,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_124214_jpg.rf.933d26e8eb32b1dcf5292d6ce2d4f164.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251128_124214_jpg.rf.933d26e8eb32b1dcf5292d6ce2d4f164.txt,WVH1391,clear,TRUE,,Jacob,2026-09-07T18:31:00+08:00,true,true_positive
DEV-056,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_124714_jpg.rf.2dc6203280b9cd439fa3b5250d5e3bba.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251128_124714_jpg.rf.2dc6203280b9cd439fa3b5250d5e3bba.txt,ANT566,small_or_distant,TRUE,,Jacob,2026-09-07T18:31:00+08:00,true,true_positive
DEV-057,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_124736_jpg.rf.46094c94ed1e1ba0ad897e9b914c2159.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251128_124736_jpg.rf.46094c94ed1e1ba0ad897e9b914c2159.txt,WA8123X,glare_or_overexposure,TRUE,,Jacob,2026-09-07T18:32:00+08:00,true,true_positive
DEV-058,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_124753_jpg.rf.d731c8e1a047d951398dad2178638c42.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251128_124753_jpg.rf.d731c8e1a047d951398dad2178638c42.txt,JYD9828,angled,TRUE,,Jacob,2026-09-07T18:32:00+08:00,true,true_positive
DEV-059,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251201_151341_jpg.rf.2099df03e8730ebea481da09464aa5c8.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251201_151341_jpg.rf.2099df03e8730ebea481da09464aa5c8.txt,,angled;small_or_distant;motion_blur,TRUE,,Jacob,2026-09-07T18:34:00+08:00,true,true_positive
DEV-060,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251201_201252_jpg.rf.515922b42cc9b1d6f49e99457f0b13a0.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251201_201252_jpg.rf.515922b42cc9b1d6f49e99457f0b13a0.txt,JTG8982,angled,TRUE,,Jacob,2026-09-07T18:34:00+08:00,true,true_positive
DEV-061,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251201_201617_jpg.rf.86c95bb31ecc2647eb53a425062c10ea.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251201_201617_jpg.rf.86c95bb31ecc2647eb53a425062c10ea.txt,DEJ3265,small_or_distant;glare_or_exposure,TRUE,,Jacob,2026-09-07T18:35:00+08:00,true,true_positive
DEV-062,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251201_202110_jpg.rf.f783cb8eff2726305bc8ab04dd99f42f.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251201_202110_jpg.rf.f783cb8eff2726305bc8ab04dd99f42f.txt,JDL6673,clear,TRUE,,Jacob,2026-09-07T18:35:00+08:00,true,true_positive
DEV-063,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251202_090301_jpg.rf.8647b1625c4d607ce314a8ed74c3e9cb.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251202_090301_jpg.rf.8647b1625c4d607ce314a8ed74c3e9cb.txt,JQJ4603,clear,TRUE,,Jacob,2026-09-07T18:36:00+08:00,true,true_positive
DEV-064,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170800_jpg.rf.11c058c8f588c451e0eae12fafab28ee.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20260113_170800_jpg.rf.11c058c8f588c451e0eae12fafab28ee.txt,SJG3927,clear,TRUE,,Jacob,2026-09-07T18:36:00+08:00,true,true_positive
DEV-065,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170815_jpg.rf.f9bde59f6a8fe8f852da165868946db8.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20260113_170815_jpg.rf.f9bde59f6a8fe8f852da165868946db8.txt,JTK4437,clear,TRUE,,Jacob,2026-09-07T18:37:00+08:00,true,true_positive
DEV-066,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170820_jpg.rf.3c548fa0bc19a347eab7465324b692a6.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20260113_170820_jpg.rf.3c548fa0bc19a347eab7465324b692a6.txt,UTHM7277,clear,TRUE,,Jacob,2026-09-07T18:37:00+08:00,true,true_positive
DEV-067,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170858_jpg.rf.474c12d0555d9a52487eeeec04eb1b88.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20260113_170858_jpg.rf.474c12d0555d9a52487eeeec04eb1b88.txt,WB7318H,clear,TRUE,,Jacob,2026-09-07T18:38:00+08:00,true,true_positive
DEV-068,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170903_jpg.rf.1b3b9737e6e9170dc4ce2c4eb03080f9.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20260113_170903_jpg.rf.1b3b9737e6e9170dc4ce2c4eb03080f9.txt,WUE1173,clear,TRUE,,Jacob,2026-09-07T18:38:00+08:00,true,true_positive
DEV-069,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170927_jpg.rf.38153f0c91ec9fe3eaf3d7e010c96ed7.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20260113_170927_jpg.rf.38153f0c91ec9fe3eaf3d7e010c96ed7.txt,JWN5126,clear,TRUE,,Jacob,2026-09-07T18:39:00+08:00,true,true_positive
DEV-070,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170938_jpg.rf.4e523bced05caee420565dd8d4cbbcef.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20260113_170938_jpg.rf.4e523bced05caee420565dd8d4cbbcef.txt,MDC144,clear,TRUE,,Jacob,2026-09-07T18:39:00+08:00,true,true_positive
DEV-071,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_171103_jpg.rf.846bdbbfff8c939d0bcd7cbe86cf4a45.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20260113_171103_jpg.rf.846bdbbfff8c939d0bcd7cbe86cf4a45.txt,KEY9603,clear,TRUE,,Jacob,2026-09-07T18:40:00+08:00,true,true_positive
