id,image_path,crop_path,detection_confidence,ocr_raw_text,ocr_normalized_text,ocr_confidence,ground_truth_plate,ground_truth_normalized,exact_match
15,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140152_jpg.rf.0c172dd4336d7920745928765b6825df.jpg,ml\evaluation\development\review\crops\15_20251123_140152_jpg.rf.0c172dd4336d7920745928765b6825df.jpg,0.917812,FB 761,FB761,0.993608,FB761,FB761,true
16,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140156_jpg.rf.8be856e647043293efd3adbce04c9f11.jpg,ml\evaluation\development\review\crops\16_20251123_140156_jpg.rf.8be856e647043293efd3adbce04c9f11.jpg,0.923904,JRC8034,JRC8034,0.999882,JRC8034,JRC8034,true
17,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140205_jpg.rf.ba78828562ab17efbac0f259da223a25.jpg,ml\evaluation\development\review\crops\17_20251123_140205_jpg.rf.ba78828562ab17efbac0f259da223a25.jpg,0.939532,VAE 4712,VAE4712,0.982521,VAE4712,VAE4712,true
18,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140214_jpg.rf.bc3f76c8e88a986fc7cbdf0b9f93dc50.jpg,ml\evaluation\development\review\crops\18_20251123_140214_jpg.rf.bc3f76c8e88a986fc7cbdf0b9f93dc50.jpg,0.948157,PMN 9193,PMN9193,0.996167,PMN9193,PMN9193,true
19,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140248_jpg.rf.8600ecde88b1f0ed6b83675545bdf3bf.jpg,ml\evaluation\development\review\crops\19_20251123_140248_jpg.rf.8600ecde88b1f0ed6b83675545bdf3bf.jpg,0.930852,BHV1289,BHV1289,0.999399,BHV1289,BHV1289,true
20,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140301_jpg.rf.a365e26aa6068e4a3873315d00c2ccc5.jpg,ml\evaluation\development\review\crops\20_20251123_140301_jpg.rf.a365e26aa6068e4a3873315d00c2ccc5.jpg,0.937998,JPK8330,JPK8330,0.999972,JPK8330,JPK8330,true
21,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140309_jpg.rf.7ea8528caa78a5b23a15cfa951edf9f0.jpg,ml\evaluation\development\review\crops\21_20251123_140309_jpg.rf.7ea8528caa78a5b23a15cfa951edf9f0.jpg,0.943320,RG2626,RG2626,0.999985,RG2626,RG2626,true
22,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140314_jpg.rf.6a977dc44e81a2e18b4c50773fc11b87.jpg,ml\evaluation\development\review\crops\22_20251123_140314_jpg.rf.6a977dc44e81a2e18b4c50773fc11b87.jpg,0.924524,JSH 1333,JSH1333,0.980180,JSH1333,JSH1333,true
23,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140318_jpg.rf.4eb7e316dbbb5c29d00644bc1c8419ea.jpg,ml\evaluation\development\review\crops\23_20251123_140318_jpg.rf.4eb7e316dbbb5c29d00644bc1c8419ea.jpg,0.935477,JWN5828,JWN5828,0.999972,JWN5828,JWN5828,true
24,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140321_jpg.rf.6f21292cd20a00f28fef35c777b2b8d5.jpg,ml\evaluation\development\review\crops\24_20251123_140321_jpg.rf.6f21292cd20a00f28fef35c777b2b8d5.jpg,0.941515,VLM 7012,VLM7012,0.995688,VLM7012,VLM7012,true
25,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140336_jpg.rf.9b71d66f56dd0f48bc9caf15afa05c7c.jpg,ml\evaluation\development\review\crops\25_20251123_140336_jpg.rf.9b71d66f56dd0f48bc9caf15afa05c7c.jpg,0.939630,FA 8577,FA8577,0.997983,FA8577,FA8577,true
26,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140338_jpg.rf.96616d6fd061a0c29b40a2267e1a8faf.jpg,ml\evaluation\development\review\crops\26_20251123_140338_jpg.rf.96616d6fd061a0c29b40a2267e1a8faf.jpg,0.945360,JRP 351,JRP351,0.995479,JRP351,JRP351,true
27,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140344_jpg.rf.105206ed677a13e401ff0a4ed962024d.jpg,ml\evaluation\development\review\crops\27_20251123_140344_jpg.rf.105206ed677a13e401ff0a4ed962024d.jpg,0.912847,JQB 22,JQB22,0.941869,JQB22,JQB22,true
28,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140347_jpg.rf.6cfd50016a3c87268f300326af395c62.jpg,ml\evaluation\development\review\crops\28_20251123_140347_jpg.rf.6cfd50016a3c87268f300326af395c62.jpg,0.948336,MBS 9684,MBS9684,0.995602,MBS9684,MBS9684,true
29,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140538_jpg.rf.c0903faf429949a976688bf9201d16b0.jpg,ml\evaluation\development\review\crops\29_20251123_140538_jpg.rf.c0903faf429949a976688bf9201d16b0.jpg,0.910869,JQQ7788,JQQ7788,0.999378,JQQ7788,JQQ7788,true
30,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140546_jpg.rf.14360879d7b98b16eef8aac1fb9c0820.jpg,ml\evaluation\development\review\crops\30_20251123_140546_jpg.rf.14360879d7b98b16eef8aac1fb9c0820.jpg,0.921323,VFL5070,VFL5070,0.999959,VFL5070,VFL5070,true
31,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140654_jpg.rf.8d3f0fcb9a07dea507b604b112ffdc25.jpg,ml\evaluation\development\review\crops\31_20251123_140654_jpg.rf.8d3f0fcb9a07dea507b604b112ffdc25.jpg,0.933438,VES 6551,VES6551,0.999623,VES6551,VES6551,true
32,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140743_jpg.rf.62919c8d5b488f90f6e655b853fe28bb.jpg,ml\evaluation\development\review\crops\32_20251123_140743_jpg.rf.62919c8d5b488f90f6e655b853fe28bb.jpg,0.940038,TCK1106,TCK1106,0.977430,TCK1106,TCK1106,true
33,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140747_jpg.rf.18ffbc6a8959a5ba88c6e9a30d1d2ff5.jpg,ml\evaluation\development\review\crops\33_20251123_140747_jpg.rf.18ffbc6a8959a5ba88c6e9a30d1d2ff5.jpg,0.930079,VEV 2003,VEV2003,0.918953,VEV2003,VEV2003,true
34,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140749_jpg.rf.82f49989467be5ad58149b31705da609.jpg,ml\evaluation\development\review\crops\34_20251123_140749_jpg.rf.82f49989467be5ad58149b31705da609.jpg,0.942288,SWN2589,SWN2589,0.999930,SWN2589,SWN2589,true
35,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140807_jpg.rf.7d5148fe4d23ecd65ff8d7d6b3acbafa.jpg,ml\evaluation\development\review\crops\35_20251123_140807_jpg.rf.7d5148fe4d23ecd65ff8d7d6b3acbafa.jpg,0.900385,NEA 6562,NEA6562,0.955571,NEA6562,NEA6562,true
37,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140847_jpg.rf.cd434d7b745e17a22f2f61d1fff12315.jpg,ml\evaluation\development\review\crops\37_20251123_140847_jpg.rf.cd434d7b745e17a22f2f61d1fff12315.jpg,0.894549,PLM9647,PLM9647,0.999991,PLM9647,PLM9647,true
38,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140904_jpg.rf.22167d2f5b4aed200613b7008df169aa.jpg,ml\evaluation\development\review\crops\38_20251123_140904_jpg.rf.22167d2f5b4aed200613b7008df169aa.jpg,0.938039,WUB,WU8,0.999951,WUB8635,WUB8635,false
39,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140936_jpg.rf.ce78941bbab35aa04059cebdfbb9a198.jpg,ml\evaluation\development\review\crops\39_20251123_140936_jpg.rf.ce78941bbab35aa04059cebdfbb9a198.jpg,0.914385,QM8288C,QM8288C,0.998807,QM8288C,QM8288C,true
40,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140957_jpg.rf.024f9b6536d7423f3cb27a9b0546f063.jpg,ml\evaluation\development\review\crops\40_20251123_140957_jpg.rf.024f9b6536d7423f3cb27a9b0546f063.jpg,0.929652,QS 8277G,QS8277G,0.973966,QS8277G,QS8277G,true
41,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141028_jpg.rf.19b6534421622bccfd489c0caf9c1d38.jpg,ml\evaluation\development\review\crops\41_20251123_141028_jpg.rf.19b6534421622bccfd489c0caf9c1d38.jpg,0.962115,WYD 5337,WYD5337,0.998473,WYD5337,WYD5337,true
42,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141037_jpg.rf.438a2581fa74ebc5adc73d7839483a94.jpg,ml\evaluation\development\review\crops\42_20251123_141037_jpg.rf.438a2581fa74ebc5adc73d7839483a94.jpg,0.929907,WPR 7559,WPR7559,0.999903,WPR7559,WPR7559,true
43,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141050_jpg.rf.4aa2af693adf894dbd409c74a0bb6145.jpg,ml\evaluation\development\review\crops\43_20251123_141050_jpg.rf.4aa2af693adf894dbd409c74a0bb6145.jpg,0.932739,WEX 282,WEX282,0.951976,WEX282,WEX282,true
44,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141100_jpg.rf.d0c446746ed37da4fa061f94ca1308da.jpg,ml\evaluation\development\review\crops\44_20251123_141100_jpg.rf.d0c446746ed37da4fa061f94ca1308da.jpg,0.931400,VMH 1296,VMH1296,0.999375,VMH1296,VMH1296,true
45,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141103_jpg.rf.14bd8120175fc9a5f686def2837a2ef0.jpg,ml\evaluation\development\review\crops\45_20251123_141103_jpg.rf.14bd8120175fc9a5f686def2837a2ef0.jpg,0.936822,NDD 9298,NDD9298,0.999679,NDD9298,NDD9298,true
46,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141107_jpg.rf.113a1dc4eb3d953af54c39d9d5b5aee6.jpg,ml\evaluation\development\review\crops\46_20251123_141107_jpg.rf.113a1dc4eb3d953af54c39d9d5b5aee6.jpg,0.936169,WC 4566 V,WC4566V,0.997739,WC4566V,WC4566V,true
47,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141115_jpg.rf.ed0f87f3958d164b5ed48c2399b4ad6f.jpg,ml\evaluation\development\review\crops\47_20251123_141115_jpg.rf.ed0f87f3958d164b5ed48c2399b4ad6f.jpg,0.955225,AMQ 6172,AMQ6172,0.996873,AMQ6172,AMQ6172,true
48,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141153_jpg.rf.369480c28882fe293337a77abe86f487.jpg,ml\evaluation\development\review\crops\48_20251123_141153_jpg.rf.369480c28882fe293337a77abe86f487.jpg,0.943581,VFW 2886,VFW2886,0.993925,VFW2886,VFW2886,true
49,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_141218_jpg.rf.fd35b5ecde58822be0eebbd00858c61c.jpg,ml\evaluation\development\review\crops\49_20251123_141218_jpg.rf.fd35b5ecde58822be0eebbd00858c61c.jpg,0.934982,26,Z6,0.999998,PETRA26,PETRA26,false
50,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251124_151303_jpg.rf.63e3a05796a30a2b28719666232c3eff.jpg,ml\evaluation\development\review\crops\50_20251124_151303_jpg.rf.63e3a05796a30a2b28719666232c3eff.jpg,0.925121,VCB,VC8,0.999678,VCB5678,VCB5678,false
51,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251124_151844_jpg.rf.d544e79e76cf43226a60a1733723b19a.jpg,ml\evaluation\development\review\crops\51_20251124_151844_jpg.rf.d544e79e76cf43226a60a1733723b19a.jpg,0.926559,M733M,M733M,0.999957,M733M,M733M,true
52,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_121849_jpg.rf.d60868013902e07eba58a4b34ac5ab83.jpg,ml\evaluation\development\review\crops\52_20251128_121849_jpg.rf.d60868013902e07eba58a4b34ac5ab83.jpg,0.945876,MDC 9311,MDC9311,0.979705,MDC9311,MDC9311,true
53,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_122416_jpg.rf.97886d6b038d8432e5266818046d7290.jpg,ml\evaluation\development\review\crops\53_20251128_122416_jpg.rf.97886d6b038d8432e5266818046d7290.jpg,0.940762,MDL9890,MDL9890,0.999961,MDL9890,MDL9890,true
54,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_123226_jpg.rf.efaa5429ae9df07611826b54800ed41a.jpg,ml\evaluation\development\review\crops\54_20251128_123226_jpg.rf.efaa5429ae9df07611826b54800ed41a.jpg,0.894998,VPS7275,VPS7275,0.980053,VPS7275,VPS7275,true
55,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_124214_jpg.rf.933d26e8eb32b1dcf5292d6ce2d4f164.jpg,ml\evaluation\development\review\crops\55_20251128_124214_jpg.rf.933d26e8eb32b1dcf5292d6ce2d4f164.jpg,0.944004,WVH,WVH,0.999579,WVH1391,WVH1391,false
56,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_124714_jpg.rf.2dc6203280b9cd439fa3b5250d5e3bba.jpg,ml\evaluation\development\review\crops\56_20251128_124714_jpg.rf.2dc6203280b9cd439fa3b5250d5e3bba.jpg,0.911583,ANT 566,ANT566,0.996497,ANT566,ANT566,true
57,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_124736_jpg.rf.46094c94ed1e1ba0ad897e9b914c2159.jpg,ml\evaluation\development\review\crops\57_20251128_124736_jpg.rf.46094c94ed1e1ba0ad897e9b914c2159.jpg,0.936856,WA 8123 X,WA8123X,0.950082,WA8123X,WA8123X,true
58,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251128_124753_jpg.rf.d731c8e1a047d951398dad2178638c42.jpg,ml\evaluation\development\review\crops\58_20251128_124753_jpg.rf.d731c8e1a047d951398dad2178638c42.jpg,0.920516,JYD9828,JYD9828,0.999744,JYD9828,JYD9828,true
60,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251201_201252_jpg.rf.515922b42cc9b1d6f49e99457f0b13a0.jpg,ml\evaluation\development\review\crops\60_20251201_201252_jpg.rf.515922b42cc9b1d6f49e99457f0b13a0.jpg,0.933975,JTG8982,JTG8982,0.999749,JTG8982,JTG8982,true
61,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251201_201617_jpg.rf.86c95bb31ecc2647eb53a425062c10ea.jpg,ml\evaluation\development\review\crops\61_20251201_201617_jpg.rf.86c95bb31ecc2647eb53a425062c10ea.jpg,0.865129,DEJ 3265,DEJ3265,0.998531,DEJ3265,DEJ3265,true
62,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251201_202110_jpg.rf.f783cb8eff2726305bc8ab04dd99f42f.jpg,ml\evaluation\development\review\crops\62_20251201_202110_jpg.rf.f783cb8eff2726305bc8ab04dd99f42f.jpg,0.905335,JDL6673,JDL6673,0.999901,JDL6673,JDL6673,true
63,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251202_090301_jpg.rf.8647b1625c4d607ce314a8ed74c3e9cb.jpg,ml\evaluation\development\review\crops\63_20251202_090301_jpg.rf.8647b1625c4d607ce314a8ed74c3e9cb.jpg,0.914568,JQJ 4603,JQJ4603,0.985535,JQJ4603,JQJ4603,true
64,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170800_jpg.rf.11c058c8f588c451e0eae12fafab28ee.jpg,ml\evaluation\development\review\crops\64_20260113_170800_jpg.rf.11c058c8f588c451e0eae12fafab28ee.jpg,0.926646,SJG 3927,SJG3927,0.985426,SJG3927,SJG3927,true
65,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170815_jpg.rf.f9bde59f6a8fe8f852da165868946db8.jpg,ml\evaluation\development\review\crops\65_20260113_170815_jpg.rf.f9bde59f6a8fe8f852da165868946db8.jpg,0.937169,JTK4437,JTK4437,0.999987,JTK4437,JTK4437,true
66,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170820_jpg.rf.3c548fa0bc19a347eab7465324b692a6.jpg,ml\evaluation\development\review\crops\66_20260113_170820_jpg.rf.3c548fa0bc19a347eab7465324b692a6.jpg,0.942217,UTHM 7277,UTHM7277,0.970889,UTHM7277,UTHM7277,true
67,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170858_jpg.rf.474c12d0555d9a52487eeeec04eb1b88.jpg,ml\evaluation\development\review\crops\67_20260113_170858_jpg.rf.474c12d0555d9a52487eeeec04eb1b88.jpg,0.929577,WB7318H,WB7318H,0.998138,WB7318H,WB7318H,true
68,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170903_jpg.rf.1b3b9737e6e9170dc4ce2c4eb03080f9.jpg,ml\evaluation\development\review\crops\68_20260113_170903_jpg.rf.1b3b9737e6e9170dc4ce2c4eb03080f9.jpg,0.945692,WUE 1173,WUE1173,0.990644,WUE1173,WUE1173,true
69,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170927_jpg.rf.38153f0c91ec9fe3eaf3d7e010c96ed7.jpg,ml\evaluation\development\review\crops\69_20260113_170927_jpg.rf.38153f0c91ec9fe3eaf3d7e010c96ed7.jpg,0.934801,JWN 5126,JWN5126,0.999052,JWN5126,JWN5126,true
70,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_170938_jpg.rf.4e523bced05caee420565dd8d4cbbcef.jpg,ml\evaluation\development\review\crops\70_20260113_170938_jpg.rf.4e523bced05caee420565dd8d4cbbcef.jpg,0.926355,MDC 144,MDC144,0.999744,MDC144,MDC144,true
71,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_171103_jpg.rf.846bdbbfff8c939d0bcd7cbe86cf4a45.jpg,ml\evaluation\development\review\crops\71_20260113_171103_jpg.rf.846bdbbfff8c939d0bcd7cbe86cf4a45.jpg,0.942466,KEY 9603,KEY9603,0.999642,KEY9603,KEY9603,true
72,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_171131_jpg.rf.8b0b92ae2c65f1c423d93b9cccb8b308.jpg,ml\evaluation\development\review\crops\72_20260113_171131_jpg.rf.8b0b92ae2c65f1c423d93b9cccb8b308.jpg,0.876357,JXA5355,JXA5355,0.999904,JXA5355,JXA5355,true
73,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_171227_jpg.rf.df8613362b5d38f19e96fa09af0166dc.jpg,ml\evaluation\development\review\crops\73_20260113_171227_jpg.rf.df8613362b5d38f19e96fa09af0166dc.jpg,0.935238,JEM18,JEM18,0.999900,JEM18,JEM18,true
74,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_171251_jpg.rf.46a072ad51b51285a868684c73391793.jpg,ml\evaluation\development\review\crops\74_20260113_171251_jpg.rf.46a072ad51b51285a868684c73391793.jpg,0.929698,NDB,ND8,0.857899,NDB4391,NDB4391,false
75,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_171258_jpg.rf.d31df88ca1f17503c1a68dc066407401.jpg,ml\evaluation\development\review\crops\75_20260113_171258_jpg.rf.d31df88ca1f17503c1a68dc066407401.jpg,0.933632,MCM 4398,MCM4398,0.942686,MCM4398,MCM4398,true
76,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_171314_jpg.rf.9c2ecb8d6fa360902169169c36223eb1.jpg,ml\evaluation\development\review\crops\76_20260113_171314_jpg.rf.9c2ecb8d6fa360902169169c36223eb1.jpg,0.932131,QAA 4009 W,QAA4009W,0.983038,QAA4009W,QAA4009W,true
77,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_202131_jpg.rf.6b848cb2c7d6ee49c32fbd15d1211a80.jpg,ml\evaluation\development\review\crops\77_20260113_202131_jpg.rf.6b848cb2c7d6ee49c32fbd15d1211a80.jpg,0.941460,DR 4445,DR4445,0.980796,DR4445,DR4445,true
78,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_202159_jpg.rf.5c538f79c374ed3d5cf7d99d91f56b6d.jpg,ml\evaluation\development\review\crops\78_20260113_202159_jpg.rf.5c538f79c374ed3d5cf7d99d91f56b6d.jpg,0.945340,MCF 4050,MCF4050,0.953730,MCF4050,MCF4050,true
79,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_202326_jpg.rf.4351debc4422541193413f90a8e597f5.jpg,ml\evaluation\development\review\crops\79_20260113_202326_jpg.rf.4351debc4422541193413f90a8e597f5.jpg,0.942733,RAW 5904,RAW5904,0.999924,RAW5904,RAW5904,true
80,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_202410_jpg.rf.17720106ebe8915252f84349a75cc039.jpg,ml\evaluation\development\review\crops\80_20260113_202410_jpg.rf.17720106ebe8915252f84349a75cc039.jpg,0.935403,ST7859Y,ST7859Y,0.999812,ST7859Y,ST7859Y,true
81,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_202450_jpg.rf.901c4675f7c9799d00f59a1d1583bd1f.jpg,ml\evaluation\development\review\crops\81_20260113_202450_jpg.rf.901c4675f7c9799d00f59a1d1583bd1f.jpg,0.953241,VAH 2539,VAH2539,0.993390,VAH2539,VAH2539,true
82,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_202558_jpg.rf.856adb50ff6ce8699163311127b3d409.jpg,ml\evaluation\development\review\crops\82_20260113_202558_jpg.rf.856adb50ff6ce8699163311127b3d409.jpg,0.940370,PRE 5862,PRE5862,0.979216,PRE5862,PRE5862,true
83,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20260113_202629_jpg.rf.20742c660a780d1d41f33fb8cf32a5a4.jpg,ml\evaluation\development\review\crops\83_20260113_202629_jpg.rf.20742c660a780d1d41f33fb8cf32a5a4.jpg,0.933086,RAP 1940,RAP1940,0.998636,RAP1940,RAP1940,true
84,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\29650796-36d3-468b-8cda-eb6859e053a3_jpg.rf.2cfcbea1b82ed9b8500c7606495a9ba5.jpg,ml\evaluation\development\review\crops\84_29650796-36d3-468b-8cda-eb6859e053a3_jpg.rf.2cfcbea1b82ed9b8500c7606495a9ba5.jpg,0.915101,PMJ 5716,PMJ5716,0.998317,PMJ5716,PMJ5716,true
85,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\319e49f8-181f-4288-aa94-0d38d33f77c1_jpg.rf.fb7434467d91b3c705d071287c98bfaf.jpg,ml\evaluation\development\review\crops\85_319e49f8-181f-4288-aa94-0d38d33f77c1_jpg.rf.fb7434467d91b3c705d071287c98bfaf.jpg,0.918434,VCF 1804,VCF1804,0.998355,VCF1804,VCF1804,true
